bedrooms,bathrooms,sqft_living,floors,price
5,2.5,3180,2.0,800866
3,1.5,2160,1.0,650000
6,1.75,2920,2.5,823000
3,2.0,2350,1.5,770000
3,1.75,1560,1.0,524000
5,2.75,2740,1.0,541125
3,2.5,1680,3.0,670000
5,2.5,3090,1.0,384900
3,2.25,1410,3.0,406100
4,2.5,3180,2.0,736500
3,2.25,2010,1.0,570000
3,1.75,1330,1.0,787000
4,2.5,2370,2.0,328000
5,2.0,1840,1.0,435000
4,2.5,2910,2.0,499000
4,1.0,2070,1.0,501000
2,1.0,840,1.0,400000
4,1.5,1240,1.0,220000
4,1.0,1390,1.0,657100
4,2.75,2310,2.0,309950
3,2.0,1050,1.0,300000
5,1.75,2550,1.0,525888
4,1.75,2010,1.5,740000
5,1.0,1120,1.5,340000
3,2.5,2230,2.0,398750
2,1.0,810,1.0,206000
3,1.75,1670,1.0,600000
4,1.75,1970,1.0,379950
3,1.0,1450,1.0,287000
3,2.5,1880,2.0,309950
3,1.75,1880,1.0,600000
3,2.0,1410,1.5,418000
4,2.0,1480,1.5,449250
2,1.0,1140,1.5,329950
3,1.75,1920,1.0,245000
4,2.5,2910,2.0,549000
3,2.5,3240,2.0,800000
3,2.0,1550,1.0,249950
5,2.0,2050,1.0,210000
2,1.0,1770,1.5,585000
4,1.75,2300,1.0,615000
3,2.0,1800,1.0,618500
4,1.75,2010,1.0,487585
3,2.5,1790,2.0,509900
4,2.5,2440,2.0,631625
3,2.5,1940,2.0,555000
2,1.5,1160,2.0,340000
4,2.5,3400,2.0,830000
4,4.25,4420,2.0,890000
3,3.0,1571,3.0,366750
3,2.25,1620,2.5,415000
3,2.5,1408,3.0,416286
3,2.5,3040,2.0,478000
5,3.5,4490,2.0,890000
2,2.5,1590,2.0,419190
4,2.5,2450,2.0,712198
4,2.0,1440,1.0,397000
2,2.0,1100,1.5,450000
3,1.0,1350,1.0,353000
4,2.5,2150,2.0,609000
3,1.75,1490,1.0,234000
3,2.0,2000,2.0,561000
2,1.0,1030,1.0,469000
2,1.0,720,1.0,329350
5,2.0,2020,1.5,488000
3,1.75,1580,1.0,279900
4,2.5,2110,2.0,606000
4,2.0,1300,1.0,312000
3,1.5,1630,1.0,650000
4,2.5,1890,1.0,325000
4,2.0,1520,1.0,425000
2,1.0,900,1.0,219000
3,1.0,1050,1.0,250000
3,1.75,1260,1.0,390000
6,3.0,3470,1.5,475000
4,2.5,2290,2.0,736000
4,2.25,2810,1.0,407000
3,2.5,1650,2.0,272000
3,2.25,1640,1.0,362000
3,2.5,1850,2.0,535000
4,2.5,2000,2.0,284000
3,1.5,1410,1.0,367500
4,1.75,1500,1.0,379900
3,2.5,2460,2.0,520000
3,1.0,1010,1.0,175000
2,2.25,1230,2.0,460000
4,2.5,2331,2.0,345000
5,2.5,2240,1.0,455000
4,3.0,2450,1.0,610000
4,3.0,3100,2.0,563000
4,2.0,2060,1.0,612500
3,1.75,1850,1.0,218000
4,1.75,1840,1.0,404000
4,2.0,3740,2.0,860000
3,1.5,1420,1.0,136500
3,1.0,1510,1.0,313950
3,1.75,2130,1.0,575000
3,1.75,1630,1.0,280000
3,2.5,1790,2.0,515000
4,2.5,2000,2.0,513000
4,2.25,2260,2.0,599000
4,2.5,3030,2.0,685000
3,1.5,1310,1.0,365000
4,2.5,3880,2.0,762300
5,2.25,3040,2.0,562000
5,2.5,2910,1.0,530000
3,2.5,2970,1.0,525000
2,1.75,1660,1.0,484000
4,2.5,3200,2.0,725126
4,2.0,2680,1.0,360000
3,1.0,1230,1.0,387000
4,2.5,2740,2.0,483500
4,3.5,3380,2.0,655500
3,1.0,1110,1.0,345000
5,2.75,1800,1.5,533000
3,1.75,1900,1.0,385000
2,1.0,930,1.0,675000
3,1.75,1690,1.0,197000
3,2.0,1420,1.5,485000
3,2.25,1980,1.0,295000
2,1.75,1170,1.0,499000
3,1.5,800,1.0,191000
3,2.5,1480,3.0,500000
5,3.75,2890,1.0,390000
3,2.5,2690,3.0,979000
4,3.25,3569,2.0,580000
3,2.0,1270,3.0,369950
4,2.5,3040,2.0,776000
3,2.25,1170,3.0,519950
5,2.25,2060,1.0,255000
3,1.0,990,1.0,495000
4,2.5,2430,2.0,510000
3,1.75,1250,1.0,253000
3,2.75,1540,1.0,503000
3,2.5,1600,2.0,275000
3,1.0,1110,1.0,249000
3,1.75,1840,1.0,310000
3,2.75,2520,1.0,750000
3,2.5,2680,2.0,630000
9,4.5,3830,2.5,599999
4,2.75,2410,1.0,758000
4,1.75,1720,1.0,248500
3,1.75,2070,1.0,310000
3,2.0,1760,2.0,460000
3,1.75,1680,1.0,675000
2,2.0,1550,1.5,526000
3,3.0,4120,2.0,560000
4,3.0,1830,2.0,415000
3,1.0,1400,1.0,246000
3,1.75,1870,1.0,314500
2,1.5,1040,1.5,420000
3,1.75,2720,1.5,535000
3,1.0,1010,1.0,350000
3,1.75,1580,1.0,515000
4,2.75,2600,2.0,749950
3,2.5,1920,2.0,230000
3,2.0,2350,1.5,568000
1,1.0,1100,1.0,250000
4,2.0,2510,1.0,581000
3,2.5,3240,2.0,651000
3,2.5,2460,1.0,600000
2,1.0,1010,1.5,500000
2,1.0,820,1.0,475000
5,2.5,2420,1.0,352000
3,2.25,1770,2.0,420000
2,2.0,1350,1.0,428000
3,1.75,1960,1.0,599000
4,2.5,3305,1.5,492000
2,2.25,2550,1.0,630000
5,3.75,4130,2.0,900000
4,2.0,1650,1.0,575000
4,2.5,2650,1.5,705000
4,2.25,1890,1.0,940000
3,1.75,2190,1.0,313000
3,2.5,2030,2.0,618080
3,3.0,2270,2.0,640000
3,2.0,1610,1.0,485000
2,1.0,760,1.0,300000
2,1.0,1640,1.0,379500
3,2.25,1630,2.0,339950
3,2.5,1940,1.0,500000
3,2.0,1410,1.0,239900
3,1.0,1040,1.0,314950
2,1.0,820,1.0,361280
2,1.0,910,1.0,100000
7,5.75,3700,2.0,540000
4,2.5,2180,1.0,480500
3,2.5,1600,2.0,280000
3,1.75,1500,1.0,440000
3,1.0,1340,1.0,530000
3,2.0,1860,1.0,560000
3,2.0,2540,1.5,775000
2,1.0,1040,1.0,160000
3,1.5,1380,1.0,209950
3,1.75,1640,1.0,226500
5,1.75,3000,1.0,380000
4,2.75,2140,1.0,409500
3,2.0,1760,1.0,690000
3,2.25,1660,1.0,405000
3,2.5,1830,2.0,375000
4,2.0,2210,1.0,794154
4,1.0,1490,1.0,185000
3,1.5,1260,2.0,245000
2,2.5,1150,3.0,425000
4,2.75,2656,2.0,495000
5,2.75,2410,1.0,365000
3,2.25,1606,3.0,417250
2,1.0,820,3.0,339950
2,1.0,1540,1.0,615000
3,2.75,2090,2.0,403000
5,2.5,3160,1.0,980000
4,1.75,1730,1.0,258000
3,1.0,1670,1.0,533000
4,2.5,2550,2.0,537500
5,3.0,3040,1.0,830000
3,1.0,1250,1.5,712000
4,2.5,2020,2.0,262000
4,2.5,2660,2.0,753888
2,1.5,980,2.0,134000
3,2.5,1960,1.0,402000
2,1.0,720,1.0,205000
2,2.5,1360,2.0,553650
2,2.0,1870,1.0,559950
4,1.5,2130,1.0,260000
4,2.5,1810,2.0,270000
2,1.75,2200,1.0,295000
3,2.5,1690,1.5,719000
3,2.5,1940,1.0,266000
4,2.5,2320,2.0,325900
4,1.75,2060,1.0,647500
4,2.25,2250,2.0,569000
3,1.75,1390,1.0,246000
2,1.0,1060,1.0,515000
3,1.0,1490,1.0,207000
4,1.75,2480,1.0,780000
5,2.25,2440,1.5,489990
3,1.5,2240,1.5,335000
3,2.5,1920,2.0,295000
3,1.75,1890,1.0,385000
4,1.75,2250,1.0,350000
2,1.0,1270,1.0,235000
2,1.5,960,2.0,358000
4,2.5,3290,2.0,716500
4,1.75,2000,1.0,228000
2,1.0,1020,1.0,405000
4,1.75,1840,1.0,538000
3,1.75,1980,1.0,530000
2,1.75,1230,1.5,636000
4,2.5,2280,2.0,535000
3,2.5,2920,3.0,868500
4,2.75,2280,1.5,530000
3,2.0,1510,1.0,450000
3,1.75,950,1.0,230000
3,2.5,1190,2.0,229000
3,1.75,1310,1.0,437000
3,2.5,1750,2.0,595000
3,1.75,1320,1.5,660000
4,2.5,2460,2.0,347500
3,2.0,1240,1.0,297950
3,1.5,1260,1.0,245000
6,2.25,2820,1.5,543200
3,2.5,1540,3.0,413450
2,2.0,1550,1.5,330000
3,1.75,1460,1.0,424500
3,1.0,1390,1.0,230000
3,3.25,2640,2.0,930000
3,1.75,1590,1.0,349000
4,2.0,1910,1.5,835000
3,2.75,2015,2.0,988500
3,1.75,1410,3.0,500000
2,1.5,1110,2.0,499000
2,1.25,860,2.0,321950
3,2.5,2310,2.0,494000
2,1.5,1020,3.0,441750
2,1.0,980,2.0,438000
4,2.25,4230,2.0,985000
3,2.25,1640,1.0,352000
4,3.5,3810,1.0,839900
4,2.75,2790,2.0,765000
4,1.75,1750,1.5,460000
4,1.0,1430,1.5,224500
3,2.5,1850,2.0,254000
2,1.0,960,1.0,255000
3,3.0,2480,1.0,610000
4,3.0,3750,2.0,920000
4,2.5,2600,2.0,402500
3,1.75,1390,1.0,280950
4,2.5,2260,2.0,604000
4,2.25,2470,2.0,565000
2,1.0,810,1.0,255000
4,2.0,1650,1.0,445000
2,1.0,720,1.0,195000
3,1.5,1390,1.0,275000
3,2.25,1445,2.0,387000
2,1.0,1840,1.5,490000
3,2.5,2100,2.0,505000
3,1.5,1060,1.0,303500
3,1.5,1500,1.0,270000
4,2.75,1970,1.0,323000
3,3.25,1410,3.0,382000
4,2.0,2190,1.0,280000
3,2.0,1920,1.0,260000
3,1.0,1160,1.0,201500
4,1.75,2000,1.5,536500
4,3.0,2163,2.0,248000
5,3.0,3480,1.0,532000
4,2.5,2840,2.0,580000
2,1.0,1150,1.0,463000
4,2.75,3100,2.0,742500
3,2.5,1420,1.0,260000
4,2.25,2430,1.0,590000
4,2.25,1930,1.0,312000
3,2.25,1660,1.0,566000
3,2.0,1400,1.0,511555
4,2.5,2660,2.0,583000
4,2.5,2000,1.0,290000
4,2.25,2130,1.0,311100
3,2.25,1352,3.0,325000
3,1.75,1750,1.0,491300
5,1.75,2320,1.0,315000
2,1.0,1420,1.0,360000
4,2.5,1940,2.0,330000
3,2.0,1410,1.0,481450
3,1.0,1360,1.0,234950
3,1.75,1220,1.0,251000
4,2.5,2830,2.0,782000
4,2.75,3780,2.0,833000
4,2.5,2330,2.0,542500
3,2.5,3560,2.0,851000
4,1.5,1470,1.0,325000
4,2.25,3060,2.0,415000
3,1.0,1030,1.0,252500
4,2.5,1930,1.0,465000
3,1.75,1780,1.0,336900
3,2.5,2000,2.0,225000
3,2.0,1690,1.0,270000
3,1.75,1300,1.5,536000
4,3.25,2400,2.0,585000
2,2.0,1150,1.0,445000
4,2.25,2310,2.0,320000
4,3.5,2730,2.0,769900
4,2.5,2840,2.0,557000
2,1.5,1020,2.0,212000
3,2.0,1340,3.0,376000
4,3.25,3540,2.0,800000
3,2.25,998,2.0,324000
5,2.75,3060,1.0,549900
3,2.5,2130,2.0,320000
4,2.0,2520,1.0,875000
4,1.0,1940,1.0,265000
3,2.5,1350,3.0,394950
4,2.5,2160,2.5,842500
3,2.5,1370,2.0,368000
4,2.5,2830,2.0,885000
3,2.5,2010,2.0,453246
4,2.75,3300,2.0,927000
2,2.5,1230,2.0,490000
3,1.5,1720,1.5,341000
1,1.0,810,1.0,235000
3,2.0,2560,1.0,560000
4,3.25,4700,2.0,900000
2,1.0,1220,1.0,255000
3,3.25,2170,1.5,876650
4,2.25,2540,1.0,540000
2,1.0,910,1.5,350000
4,2.5,2980,2.0,750000
4,1.75,2120,1.0,582000
5,3.0,2480,1.0,372500
3,2.25,2200,2.0,410000
4,2.0,1730,1.0,360000
3,1.0,990,1.0,225000
4,2.5,3040,2.0,647000
5,3.0,4530,1.5,950000
3,1.5,1370,1.0,185000
3,2.5,1940,2.0,335000
3,2.5,1040,2.0,210000
4,2.25,1800,1.0,522000
3,1.75,1720,1.0,770000
3,1.0,980,1.0,499950
4,2.5,3110,2.0,751000
5,3.0,2100,1.0,330000
3,1.5,2020,1.0,465000
4,1.75,2350,1.0,850000
4,2.25,3290,1.5,947500
5,2.25,2180,2.0,302000
2,2.25,1290,3.0,500000
3,1.0,1460,1.0,201000
2,1.0,1290,2.0,265000
4,2.5,2350,1.5,870300
3,1.0,1080,1.0,339000
4,2.5,2670,2.0,690000
4,3.25,3680,2.0,788000
3,1.75,1440,1.0,315275
4,1.75,1940,1.0,505000
3,1.0,1280,1.0,368000
3,2.75,2980,1.5,947500
3,1.0,970,1.0,156000
4,3.0,2110,1.5,610000
2,2.5,1480,3.0,420000
2,1.0,700,1.0,192000
3,2.0,2700,1.0,910000
4,2.75,2600,1.5,840000
2,1.75,1360,1.0,300000
4,2.5,2780,1.0,505000
3,1.0,1250,1.0,110000
3,2.5,2620,2.0,746000
3,1.5,1350,1.0,211000
4,3.0,2400,1.0,675000
4,2.5,2760,1.5,734200
2,1.75,2040,1.5,615000
4,2.0,1770,2.0,630000
2,1.5,830,2.0,301500
2,2.5,980,2.0,369000
3,2.5,1570,3.0,635000
4,2.5,2160,2.0,383000
4,2.5,3360,2.0,455000
5,2.75,3150,2.0,819900
3,3.5,1810,2.0,625000
4,2.5,2740,2.0,651000
5,4.75,3830,1.0,480000
3,3.25,3190,2.0,757000
3,2.25,2350,1.0,460000
4,2.25,2510,1.0,267345
2,2.0,1680,1.0,530000
3,2.0,1770,1.0,449500
3,1.0,1090,1.0,289000
5,2.5,3001,2.0,373000
5,3.0,2450,2.0,525000
3,3.25,3610,2.0,777000
4,2.0,2250,1.0,550000
3,1.5,1240,1.0,523000
4,2.0,2260,1.0,628000
4,1.75,2090,1.0,581000
5,1.75,2020,1.0,245000
3,1.75,1960,1.0,415000
3,1.5,1250,1.0,225000
3,2.25,1490,1.0,287000
6,3.0,2890,2.5,799200
3,1.0,1900,1.5,239950
3,1.75,1680,1.0,591000
3,2.5,2030,2.0,700000
4,2.5,3740,1.0,475000
3,1.75,1580,1.0,575000
3,2.25,1780,1.5,771000
2,1.0,910,1.0,155000
7,4.0,3440,2.0,550000
3,2.5,1740,2.0,645000
5,2.5,3400,1.0,464000
3,2.5,2010,2.0,350000
4,2.25,2710,2.0,591000
3,1.5,1310,1.0,717000
4,1.5,1950,1.5,225000
3,1.0,1040,1.0,225000
3,1.75,1090,1.0,345000
2,0.75,650,1.0,230000
3,2.0,1480,1.0,385000
2,1.0,790,1.0,90000
4,2.5,3560,1.0,860000
4,2.5,3000,2.0,675000
4,2.5,3490,2.0,975000
3,1.75,2340,1.0,780000
3,1.75,1650,1.0,370000
3,2.0,1940,1.5,665000
5,3.0,3410,1.0,675000
3,1.0,1710,1.5,620000
3,2.75,1250,2.0,450000
3,2.25,2450,1.0,450000
3,1.75,1690,1.0,530000
4,1.75,1950,1.0,635000
5,2.0,2290,1.0,580000
3,1.0,1090,1.0,285000
3,1.0,1190,1.0,375000
3,1.0,1440,2.0,560000
4,1.75,2180,1.0,405000
4,1.0,1410,1.0,413000
3,2.5,1950,2.0,287600
3,1.0,1660,1.0,225000
3,1.0,1390,1.0,319000
3,2.0,1350,1.0,322500
3,2.0,1530,1.0,570000
3,1.5,1270,1.0,465000
4,2.25,2140,2.0,435000
4,2.5,2040,2.0,502000
3,3.5,2876,2.0,525000
3,2.5,1580,2.0,525000
4,3.5,3400,2.0,660000
4,2.5,3520,2.5,870000
4,2.5,2210,2.0,650000
4,2.5,2790,2.0,505000
3,2.5,1450,1.0,330000
4,1.75,1620,1.0,385000
3,1.5,1220,3.0,306000
3,1.75,2000,1.0,546000
4,2.5,2190,2.5,925000
4,1.75,1900,1.0,542000
3,1.0,1700,1.5,800000
5,2.5,2540,2.0,620000
2,1.0,1170,1.0,175000
5,5.0,5774,1.0,740000
3,2.25,2120,2.0,345000
3,1.75,2170,1.0,510000
4,2.75,2450,1.0,530000
2,1.0,700,1.0,155000
3,2.5,1780,1.0,266000
3,2.0,1850,1.0,257200
3,2.0,1570,1.0,265000
3,1.0,1290,1.0,372220
5,2.0,1700,1.0,337500
2,1.5,1159,1.0,582500
3,2.75,1850,1.5,489200
2,1.0,840,1.0,405100
3,2.5,1690,2.0,372977
3,1.0,1050,1.0,310000
3,1.75,1400,1.5,538000
3,2.5,1840,2.0,317000
3,1.5,2360,2.0,702500
4,2.5,2240,2.0,565000
4,2.5,2700,2.0,723000
3,2.5,3030,1.5,766950
3,1.75,1830,1.5,682000
3,2.5,2220,2.0,325000
3,2.5,2090,1.0,543000
3,1.75,1600,1.5,525000
4,1.75,2010,1.0,364000
2,1.0,830,1.0,394475
4,2.5,2010,2.0,316000
3,1.0,1050,1.5,339950
4,2.5,2150,1.0,486000
3,1.0,860,1.0,160000
3,2.5,3100,1.0,930000
3,1.0,1100,1.0,139000
3,1.5,1830,1.0,562000
2,1.75,1250,1.0,299000
3,2.5,1820,2.0,511000
3,2.0,2090,1.5,499000
3,3.5,2100,2.0,356000
4,2.5,2310,2.0,470000
4,2.25,2060,1.0,715000
3,1.0,1660,1.0,458000
5,4.5,3810,2.0,966000
3,1.75,2110,2.0,305495
2,2.0,2370,1.5,543000
3,2.25,1970,2.0,340000
4,2.5,2470,2.0,633100
3,1.0,1480,1.0,310000
5,3.0,2257,1.0,349950
2,1.0,700,1.0,267800
4,2.0,1630,1.0,234000
4,2.5,3430,2.0,740000
5,1.75,2220,1.5,607500
3,1.75,1340,1.0,223000
2,1.0,980,1.0,400000
3,2.5,2580,2.0,802000
4,2.5,2230,2.0,253000
3,1.0,1260,1.0,300000
4,2.75,1680,1.0,625000
4,3.25,3200,2.0,707000
4,2.5,3320,2.0,950000
4,2.5,3040,2.0,420000
4,2.75,2270,1.0,498000
3,2.5,2910,2.0,450000
5,2.25,2510,2.0,955000
2,1.0,1240,1.0,215000
3,2.75,2580,2.0,437000
3,2.75,2470,2.0,773000
3,2.5,1690,2.0,256883
4,2.5,2240,1.0,592500
3,2.0,1650,1.0,252350
4,2.5,2710,2.0,370000
3,1.5,1260,1.0,465750
3,1.0,1150,1.0,185000
4,2.75,2550,1.0,582800
3,1.75,1490,1.0,245000
4,1.75,2020,1.0,302000
2,1.0,1320,1.0,451555
3,1.0,1230,1.0,250000
4,2.5,2070,2.0,255000
4,1.75,2930,1.0,840000
3,1.0,1090,1.0,190000
3,1.0,1400,1.0,349950
4,2.0,1550,1.5,613000
3,1.0,1220,1.0,300000
3,2.5,1870,1.0,455000
3,2.25,2150,2.0,335000
3,1.0,980,1.5,197500
3,1.5,1490,1.0,412500
3,1.5,1120,1.0,395300
3,2.25,1180,2.0,342400
4,2.5,3240,2.0,749400
4,2.5,2150,2.0,316500
3,2.5,2240,2.0,390000
3,2.0,1400,1.0,225000
3,2.25,1980,1.0,550000
3,1.0,1330,1.5,280000
2,1.0,1490,1.0,575000
5,1.75,2000,2.0,585000
4,2.5,2680,2.0,620000
4,2.0,1670,1.0,204700
4,3.0,3150,2.0,695000
4,3.25,2740,2.0,689900
4,1.75,1890,1.0,375000
7,3.5,2870,1.0,475000
3,1.0,1160,1.0,215000
3,1.75,1790,1.0,790000
3,1.75,1680,1.0,350000
3,2.5,4560,2.0,695000
3,2.25,1590,2.0,263000
3,1.0,1630,1.0,400000
3,2.5,2700,2.0,525000
3,2.5,1700,2.0,349950
4,3.0,1980,2.5,744000
2,1.0,880,1.0,312500
3,2.0,1400,1.0,240000
4,2.0,2050,1.5,495000
3,2.5,2360,2.0,580050
4,2.0,2560,1.0,640000
3,1.5,1340,1.0,417000
3,1.0,1060,1.0,174950
3,1.5,850,1.0,295000
4,1.75,1880,1.0,423000
3,1.0,1230,1.0,839000
4,1.75,2290,1.0,343000
3,1.0,1660,1.0,467000
3,2.5,1840,2.0,512500
4,2.5,3020,1.0,575000
3,1.75,1410,1.0,465000
3,1.0,1010,1.0,270000
3,1.75,1960,1.0,340000
5,3.75,3580,2.0,765000
4,2.5,2240,2.0,497000
4,2.5,3310,2.0,803100
3,2.5,1232,3.0,344000
4,3.5,3930,2.0,828950
3,2.5,1720,2.0,386380
3,2.25,1490,2.0,312000
3,2.5,3150,2.0,720000
4,2.5,3950,3.0,914500
5,2.75,3030,2.0,819995
2,1.5,1070,1.0,252700
3,2.5,2320,2.0,437500
1,1.0,700,1.0,350000
3,2.5,2720,2.0,619000
3,2.5,1800,2.0,408200
3,1.75,1560,1.5,451000
3,2.0,1760,1.0,317000
4,3.25,3120,2.0,799000
2,1.0,2020,1.0,720000
3,2.0,1450,1.5,490000
4,2.25,1860,1.0,239900
4,2.25,2270,1.0,446000
3,2.5,1480,2.0,275000
5,1.0,1460,2.0,239950
4,3.5,1850,2.0,248000
3,2.5,2170,2.0,619500
3,1.75,1726,2.0,363750
3,1.75,1180,1.0,385000
4,1.5,1370,1.0,370000
3,2.5,2670,1.0,425000
3,1.0,1260,1.0,342000
4,1.0,1980,1.5,345000
3,2.0,2050,1.0,724800
5,2.75,2830,2.0,725000
2,1.0,910,1.0,605000
4,2.5,2440,2.0,350000
3,2.0,2180,1.0,785000
3,2.0,1900,1.0,250000
3,2.25,1520,3.0,565000
3,2.0,2220,1.0,875000
4,2.75,3280,2.0,862500
3,2.5,2740,2.0,400000
2,1.0,830,1.0,282613
2,1.0,1010,1.0,174500
3,2.25,2060,1.0,306500
3,2.25,1990,2.0,445000
4,2.5,2280,2.0,433000
3,2.5,1870,2.0,306000
3,2.25,1720,1.5,620000
2,1.0,870,1.0,245000
3,2.0,1020,2.0,238000
3,1.5,1260,1.5,523000
3,2.5,2370,2.0,522500
3,1.0,1000,1.0,180000
3,1.5,1100,2.0,375000
3,2.25,1440,1.0,249000
4,2.5,3120,2.0,730100
2,2.0,2260,1.0,551000
4,2.5,2790,2.0,375000
1,1.0,1140,1.5,540000
3,2.25,1290,2.0,605000
5,1.75,1730,1.0,205000
4,2.5,3160,2.0,645000
4,2.5,2340,2.0,314000
3,1.5,1170,1.0,330000
2,1.0,1160,1.0,490000
3,3.0,1970,1.0,445000
3,2.25,1410,2.0,377500
4,2.5,2430,2.0,480000
5,1.5,3360,2.0,804995
3,2.5,1480,2.0,341000
5,2.5,3200,2.0,675000
3,2.5,2134,2.5,611000
3,3.25,1860,3.0,379950
2,2.5,1310,2.0,500000
3,2.0,1700,1.0,410000
3,2.5,2480,2.0,415000
5,2.5,1970,2.0,297000
4,2.5,2060,1.0,575550
3,2.5,2130,1.0,534640
3,2.25,1410,1.0,352500
2,2.0,1360,1.0,488000
3,2.0,1940,1.0,732000
2,2.25,1610,2.0,215000
2,2.0,1420,1.5,592500
4,2.5,1700,2.0,290000
2,1.0,1490,1.0,475000
3,2.5,2680,2.0,320000
5,1.5,2120,1.5,290000
4,2.0,1690,1.5,487250
4,2.5,1830,2.0,339000
2,1.5,1010,1.5,440000
4,2.75,2070,1.0,366500
3,1.5,1710,1.5,462000
4,1.0,1660,1.5,560000
4,1.75,2080,1.0,285000
3,2.5,1270,2.0,280000
3,1.0,1080,1.0,210000
3,2.0,1610,1.5,690000
2,1.0,1120,1.0,256500
4,2.75,2500,2.0,411000
3,1.0,970,1.0,215000
5,2.0,3370,1.5,762000
3,1.0,1290,1.0,359950
4,3.5,3370,2.0,480000
4,2.5,2490,2.0,390000
2,1.0,770,1.0,413500
1,1.5,810,2.0,285000
4,2.5,3060,1.0,475000
3,2.5,1690,2.0,386591
3,1.75,1890,1.0,524950
2,2.0,1470,2.0,241000
2,1.0,1060,1.0,461000
4,2.5,3480,2.0,810000
4,2.75,2730,1.5,885000
3,2.25,1580,2.0,247000
3,2.75,2170,1.0,296500
2,1.0,930,1.0,141800
4,2.0,1580,2.0,333000
5,1.75,3290,1.5,602000
4,2.25,2110,2.0,565000
3,2.5,1670,2.0,373000
3,2.25,2030,1.0,588000
3,1.0,1500,1.5,485000
3,2.25,1450,2.0,482500
4,1.5,1310,1.0,251200
5,3.25,4180,2.0,869000
3,1.75,1630,1.0,464000
4,2.5,2660,2.0,755000
3,2.5,1720,2.0,280000
2,2.25,1260,3.0,485000
3,1.75,1610,1.0,305000
2,1.0,680,1.0,110700
4,3.5,2640,2.0,850000
3,2.25,1640,2.0,350000
4,1.75,2310,1.0,319950
3,1.75,2010,1.0,700000
2,1.5,1660,1.0,368000
3,2.5,2200,2.0,433500
4,2.5,2460,2.0,611000
3,1.0,1370,1.0,307000
3,1.75,1800,1.0,442500
3,1.75,2200,2.0,485000
2,1.0,700,1.0,367000
3,2.5,1920,2.0,429000
5,2.75,2190,1.0,446000
3,2.25,2030,1.0,572500
3,2.5,1350,3.0,477000
3,2.5,1680,2.0,518000
5,1.75,1250,1.0,462000
3,1.0,950,1.0,137000
3,3.5,2320,2.0,530000
2,2.5,2380,1.0,818000
2,2.25,1540,3.0,640000
5,3.0,2100,1.0,298450
4,2.5,2500,2.0,575000
4,2.5,3230,2.0,730000
3,2.5,2830,2.0,551000
2,1.0,870,1.5,271310
4,3.0,2690,1.0,675000
